area,date,num_trip
9,2019-12-01,1493
9,2019-12-02,1402
9,2019-12-03,991
9,2019-12-04,987
9,2019-12-05,1173
9,2019-12-06,785
9,2019-12-07,352
9,2019-12-08,660
9,2019-12-09,915
9,2019-12-10,827
9,2019-12-11,917
9,2019-12-12,965
9,2019-12-13,752
9,2019-12-14,377
9,2019-12-15,591
9,2019-12-16,692
9,2019-12-17,785
9,2019-12-18,690
9,2019-12-19,709
9,2019-12-20,555
9,2019-12-21,363
9,2019-12-22,365
9,2019-12-23,358
9,2019-12-24,254
9,2019-12-25,316
9,2019-12-26,575
9,2019-12-27,641
9,2019-12-28,562
9,2019-12-29,739
9,2019-12-30,599
9,2019-12-31,462
10,2019-09-01,2017
10,2019-09-02,3353
10,2019-09-03,4715
10,2019-09-04,3968
10,2019-09-05,4014
10,2019-09-06,3278
10,2019-09-07,2175
10,2019-09-08,4638
10,2019-09-09,5659
10,2019-09-10,4815
10,2019-09-11,5204
10,2019-09-12,5556
10,2019-09-13,5734
10,2019-09-14,2952
10,2019-09-15,5013
10,2019-09-16,5745
10,2019-09-17,5042
10,2019-09-18,5773
10,2019-09-19,5553
10,2019-09-20,4595
10,2019-09-21,2891
10,2019-09-22,5770
10,2019-09-23,5979
10,2019-09-24,5285
10,2019-09-25,5616
10,2019-09-26,5131
10,2019-09-27,4884
10,2019-09-28,4122
10,2019-09-29,4284
10,2019-09-30,4829
10,2019-10-01,4409
10,2019-10-02,5441
10,2019-10-03,5612
10,2019-10-04,4717
10,2019-10-05,2271
10,2019-10-06,4517
10,2019-10-07,5192
10,2019-10-08,4163
10,2019-10-09,4674
10,2019-10-10,5545
10,2019-10-11,5518
10,2019-10-12,2848
10,2019-10-13,4261
10,2019-10-14,6144
10,2019-10-15,5427
10,2019-10-16,5396
10,2019-10-17,5744
10,2019-10-18,5658
10,2019-10-19,3296
10,2019-10-20,4816
10,2019-10-21,5747
10,2019-10-22,4877
10,2019-10-23,5851
10,2019-10-24,5504
10,2019-10-25,5026
10,2019-10-26,2920
10,2019-10-27,4678
10,2019-10-28,5187
10,2019-10-29,4653
10,2019-10-30,5105
10,2019-10-31,3934
10,2019-11-01,3844
10,2019-11-02,1981
10,2019-11-03,3826
10,2019-11-04,5166
10,2019-11-05,4303
10,2019-11-06,5096
10,2019-11-07,5508
10,2019-11-08,4377
10,2019-11-09,2436
10,2019-11-10,4673
10,2019-11-11,5201
10,2019-11-12,7059
10,2019-11-13,5130
10,2019-11-14,5305
10,2019-11-15,4070
10,2019-11-16,2139
10,2019-11-17,4611
10,2019-11-18,5877
10,2019-11-19,4464
10,2019-11-20,4525
10,2019-11-21,4851
10,2019-11-22,3933
10,2019-11-23,1847
10,2019-11-24,2088
10,2019-11-25,2143
10,2019-11-26,2369
10,2019-11-27,2037
10,2019-11-28,1318
10,2019-11-29,2530
10,2019-11-30,5151
10,2019-12-01,6756
10,2019-12-02,6253
10,2019-12-03,4514
10,2019-12-04,4505
10,2019-12-05,5053
10,2019-12-06,3655
10,2019-12-07,1780
10,2019-12-08,3431
10,2019-12-09,4658
10,2019-12-10,4406
10,2019-12-11,4333
10,2019-12-12,4499
10,2019-12-13,3326
10,2019-12-14,1778
10,2019-12-15,2806
10,2019-12-16,3764
10,2019-12-17,3419
